l1_ratio,alpha,valid_inner_folds,mean_inner_cindex,sd_inner_cindex,Repeat,Outer Fold
0.9,0.21072643415533035,3,0.6602384067446342,0.058149354428243,1,4
0.5,0.37930758147959465,3,0.6583579390805022,0.05868772617415601,1,4
1.0,0.006659108224081426,3,0.5984125230186707,0.03392289996315684,1,4
1.0,0.05111368472552181,3,0.797001841104206,0.028167820728342435,1,5
0.9,0.03736599046176982,3,0.7949025131317593,0.02542011706244946,1,5
1.0,0.03362939141559284,3,0.7946855752906185,0.028952618380143312,1,5
0.9,0.05679298302835756,3,0.7936126311257445,0.02196757415440941,1,5
0.9,0.024584326597036143,3,0.784179473441656,0.02378511298751997,1,5
1.0,0.02212589393733253,3,0.784043942374881,0.028021495447540568,1,5
0.5,0.06725878283118568,3,0.7798195408582961,0.010255178823729024,1,5
0.5,0.04425178787466506,3,0.7759632577361067,0.016320301369882197,1,5
1.0,0.07768825590488268,3,0.7693857685290116,0.014964034616414988,1,5
0.5,0.10222736945104362,3,0.7629385505395927,0.005736927556929257,1,5
1.0,0.014557360746620526,3,0.7609125454751888,0.021948405102524795,1,5
0.5,0.029114721493241052,3,0.7597429696401988,0.015236957850069715,1,5
0.9,0.016174845274022805,3,0.7594276020152853,0.018214719616710416,1,5
0.9,0.08632028433875852,3,0.7590888240052843,0.019121839968744545,1,5
0.5,0.019155542597055087,3,0.7404926518780984,0.023750275531381395,1,5
1.0,0.009577771298527544,3,0.7391515345440949,0.04178164432883372,1,5
0.9,0.010641968109475047,3,0.7382506007379043,0.039344438823547385,1,5
0.5,0.15537651180976536,3,0.7208119737162697,0.01611031520831829,1,5
0.5,0.012603067910945858,3,0.7177651301115596,0.03370084421803683,1,5
0.5,0.23615848233022976,3,0.6667123558744628,0.028591797603290538,1,5
0.9,0.13119915685012762,3,0.6574931435926076,0.040489815760544105,1,5
1.0,0.11807924116511488,3,0.6552372456770689,0.04103655289033159,1,5
1.0,0.006301533955472929,3,0.6441206753277212,0.07786695681279467,1,5
0.5,0.3589398946270608,3,0.6208635825135151,0.0385512939146705,1,5
0.9,0.1994110525705893,3,0.6208635825135151,0.0385512939146705,1,5
1.0,0.1794699473135304,3,0.6208635825135151,0.0385512939146705,1,5
1.0,0.002727783619788139,3,0.5324432972338273,0.12625638092963734,1,5
1.0,0.0017946994731353036,3,0.5304845218572442,0.06239771203521257,1,5
1.0,0.034211992562933106,3,0.796943854419561,0.025320681987516754,2,1
0.9,0.03801332506992568,3,0.7947349248544366,0.026391239884648247,2,1
1.0,0.05199918666630537,3,0.7917684011285203,0.03026515759589665,2,1
0.9,0.05777687407367264,3,0.7860930002186034,0.027335355055995263,2,1
1.0,0.02250920658889131,3,0.7848333959992067,0.022938272190540333,2,1
0.9,0.02501022954321257,3,0.783302843883952,0.024963809482155177,2,1
0.5,0.06842398512586621,3,0.7741475647211509,0.026604550603607873,2,1
0.5,0.04501841317778262,3,0.7727019592930134,0.030838201603772444,2,1
1.0,0.07903414011865595,3,0.7709700807957868,0.007251658588025837,2,1
1.0,0.014809554875512637,3,0.7705974041965565,0.02570552719715193,2,1
0.9,0.01645506097279182,3,0.77042926976653,0.024643833937128073,2,1
0.5,0.029619109751025274,3,0.7618603892203996,0.02977555973013719,2,1
0.9,0.08781571124295107,3,0.7580191334687044,0.00941394207243682,2,1
0.5,0.10399837333261074,3,0.7549420563537724,0.016761507955524568,2,1
0.5,0.019487396389978474,3,0.7409543403079306,0.02368755398383825,2,1
1.0,0.009743698194989237,3,0.7404470801442565,0.033514248032058436,2,1
0.9,0.01082633132776582,3,0.7391774903185423,0.0311568117358601,2,1
0.5,0.1580682802373119,3,0.7236257461760364,0.016714855935702544,2,1
