Repeat,Fold,gene_id
6,1,ENSG00000164434.12
6,1,ENSG00000174358.16
6,1,ENSG00000124564.17
6,1,ENSG00000178776.5
6,1,ENSG00000173376.14
6,1,ENSG00000131094.4
6,1,ENSG00000185686.18
6,1,ENSG00000125255.7
6,1,ENSG00000050628.20
6,1,ENSG00000132465.12
6,1,ENSG00000087250.9
6,1,ENSG00000149294.17
6,1,ENSG00000114455.13
6,1,ENSG00000125144.14
6,1,ENSG00000275385.2
6,1,ENSG00000163735.7
6,1,ENSG00000147003.7
6,1,ENSG00000133477.17
6,1,ENSG00000131482.10
6,1,ENSG00000184985.16
6,1,ENSG00000198075.10
6,1,ENSG00000120645.12
6,1,ENSG00000006747.15
6,1,ENSG00000131400.8
6,1,ENSG00000133863.9
6,1,ENSG00000058085.15
6,2,ENSG00000162896.6
6,2,ENSG00000174358.16
6,2,ENSG00000129988.6
6,2,ENSG00000145626.12
6,2,ENSG00000081800.9
6,2,ENSG00000012223.13
6,2,ENSG00000153902.14
6,2,ENSG00000178776.5
6,2,ENSG00000185686.18
6,2,ENSG00000135205.15
6,2,ENSG00000133063.16
6,2,ENSG00000173376.14
6,2,ENSG00000087250.9
6,2,ENSG00000125255.7
6,2,ENSG00000175084.12
6,2,ENSG00000275385.2
6,2,ENSG00000149294.17
6,2,ENSG00000163735.7
6,2,ENSG00000147003.7
6,2,ENSG00000131482.10
6,2,ENSG00000170927.15
6,2,ENSG00000006747.15
6,2,ENSG00000167588.13
6,2,ENSG00000108821.14
6,2,ENSG00000163395.17
6,2,ENSG00000131400.8
6,2,ENSG00000112246.10
6,3,ENSG00000164434.12
6,3,ENSG00000174358.16
6,3,ENSG00000173432.12
6,3,ENSG00000124564.17
6,3,ENSG00000012223.13
6,3,ENSG00000087494.16
6,3,ENSG00000019505.8
6,3,ENSG00000174564.13
6,3,ENSG00000179242.16
6,3,ENSG00000153902.14
6,3,ENSG00000135205.15
6,3,ENSG00000152377.14
6,3,ENSG00000077274.9
6,3,ENSG00000173376.14
6,3,ENSG00000050628.20
6,3,ENSG00000125255.7
6,3,ENSG00000087250.9
6,3,ENSG00000145321.13
6,3,ENSG00000074276.10
6,3,ENSG00000275385.2
6,3,ENSG00000119125.17
6,3,ENSG00000163735.7
6,3,ENSG00000147003.7
6,3,ENSG00000133477.17
6,3,ENSG00000119630.14
6,3,ENSG00000167588.13
6,3,ENSG00000131482.10
6,3,ENSG00000006747.15
6,3,ENSG00000101210.13
6,3,ENSG00000004939.15
6,3,ENSG00000198075.10
6,3,ENSG00000133863.9
6,3,ENSG00000112246.10
6,3,ENSG00000142623.11
6,3,ENSG00000081985.13
6,4,ENSG00000164434.12
6,4,ENSG00000174358.16
6,4,ENSG00000100170.10
6,4,ENSG00000087494.16
6,4,ENSG00000174564.13
6,4,ENSG00000019505.8
6,4,ENSG00000131094.4
6,4,ENSG00000178776.5
6,4,ENSG00000173376.14
6,4,ENSG00000077274.9
6,4,ENSG00000087250.9
6,4,ENSG00000275385.2
6,4,ENSG00000125255.7
6,4,ENSG00000050628.20
6,4,ENSG00000163295.5
6,4,ENSG00000125144.14
6,4,ENSG00000117472.10
6,4,ENSG00000149294.17
6,4,ENSG00000147003.7
6,4,ENSG00000172346.15
6,4,ENSG00000147614.4
6,4,ENSG00000163735.7
6,4,ENSG00000163581.14
6,4,ENSG00000119125.17
6,4,ENSG00000108821.14
6,4,ENSG00000187783.12
6,4,ENSG00000167588.13
6,4,ENSG00000183715.13
6,4,ENSG00000131400.8
6,5,ENSG00000164434.12
6,5,ENSG00000174358.16
6,5,ENSG00000012223.13
6,5,ENSG00000173376.14
6,5,ENSG00000185686.18
6,5,ENSG00000087250.9
6,5,ENSG00000125255.7
6,5,ENSG00000152377.14
6,5,ENSG00000118514.14
