Model,Repeat,Horizon,Horizon_days,Bin,N,Mean_predicted_survival,Observed_KM_survival,Calibration_error,Absolute_calibration_error
RNA,10,3yr,1095.0,2,105,0.7804672437072158,0.7804905123388288,-2.3268631613060364e-05,2.3268631613060364e-05
RNA,10,3yr,1095.0,3,106,0.8446651549583429,0.9012165430167143,-0.056551388058371344,0.056551388058371344
RNA,10,3yr,1095.0,4,106,0.9026683731871388,0.8858893282199493,0.016779044967189516,0.016779044967189516
RNA,1,5yr,1825.0,0,106,0.3196578075246677,0.30919966226579426,0.010458145258873452,0.010458145258873452
RNA,1,5yr,1825.0,1,106,0.5680848318368155,0.5413968164875448,0.026688015349270677,0.026688015349270677
RNA,1,5yr,1825.0,2,105,0.6945352555453602,0.6847357531489532,0.009799502396407034,0.009799502396407034
RNA,1,5yr,1825.0,3,106,0.7821295025556845,0.8077049581449267,-0.025575455589242235,0.025575455589242235
RNA,1,5yr,1825.0,4,106,0.8593338965985371,0.9241530507809813,-0.06481915418244422,0.06481915418244422
RNA,2,5yr,1825.0,0,106,0.377178681822918,0.34075269528812496,0.036425986534793064,0.036425986534793064
RNA,2,5yr,1825.0,1,106,0.5818629196823903,0.407790978536641,0.17407194114574936,0.17407194114574936
RNA,2,5yr,1825.0,2,105,0.6809421397278446,0.7655016100965782,-0.08455947036873368,0.08455947036873368
RNA,2,5yr,1825.0,3,106,0.7490635903195912,0.8389934848647526,-0.08992989454516132,0.08992989454516132
RNA,2,5yr,1825.0,4,106,0.8238374413042022,0.9002294611772986,-0.0763920198730964,0.0763920198730964
RNA,3,5yr,1825.0,0,106,0.31681744593635947,0.30605340881689547,0.010764037119463998,0.010764037119463998
